serijska_stevilka,znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
1503,Toyota,Urban,85000,diesel,1364,66,9900
1504,Toyota,Yaris,146000,bencinski,1329,74,5699
1505,Toyota,RAV4,184000,diesel,1998,91,12999
1506,Toyota,Yaris,84770,bencinski,1329,75,8990
1507,Toyota,Avensis,170000,diesel,2231,110,5900
1508,Toyota,RAV4,263252,diesel,2231,100,5980
1509,Toyota,Yaris,76518,bencinski,1329,73,8999
1510,Toyota,Rav4,125840,diesel,1998,91,13999
1511,Toyota,Auris,74000,bencinski,1329,73,10199
1512,Toyota,Auris,153570,bencinski,1329,74,4999
1513,Toyota,Auris,34028,diesel,1598,82,12000
1514,Toyota,RAV4,171000,diesel,2231,130,7200
1515,Toyota,Yaris,132733,bencinski,1329,74,5999
1516,Toyota,Corolla,302000,diesel,2231,100,2200
1517,Toyota,RAV4,238541,bencinski,1998,110,3950
1518,Toyota,RAV4,110000,bencinski,1987,116,7000
1519,Toyota,Avensis,169780,diesel,1998,91,9990
1520,Toyota,RAV4,344112,diesel,2231,100,5280
1521,Toyota,Corolla,257790,diesel,1995,85,2900
1522,Toyota,RAV4,235000,diesel,2231,100,6100
1523,Toyota,Corolla,244162,diesel,2231,100,3480
1524,Volkswagen,Golf,198777,diesel,1968,110,10550
1525,Volkswagen,Passat,207100,diesel,1968,103,9650
1526,Volkswagen,Touran,250000,diesel,1598,77,6500
1527,Volkswagen,Passat,274600,diesel,1896,96,2880
1528,Volkswagen,Golf,133944,diesel,1598,77,10550
1529,Volkswagen,Touran,230000,diesel,1968,103,4999
1530,Volkswagen,Polo,182000,diesel,1598,55,4499
1531,Volkswagen,Polo,188000,bencinski,1390,55,1600
1532,Volkswagen,Golf,210000,diesel,1598,66,5500
1533,Volkswagen,Golf,277000,diesel,1896,77,2500
1534,Volkswagen,Golf,165000,bencinski,1390,55,1690
1535,Volkswagen,Polo,208000,diesel,1598,66,6250
1536,Volkswagen,Passat,157573,diesel,1598,77,9900
1537,Volkswagen,Golf,272000,diesel,1598,77,4500
1538,Volkswagen,Passat,295000,diesel,1896,74,1980
1539,Volkswagen,Touran,219000,diesel,1598,77,6950
1540,Volkswagen,Passat,406300,diesel,1968,103,4990
1541,Volkswagen,Passat,168300,diesel,1968,110,12990
1542,Volkswagen,Golf,194000,diesel,1968,125,10200
1543,Volkswagen,Passat,322400,diesel,1968,125,6100
1544,Volkswagen,Polo,217000,diesel,1896,47,1499
1545,Volkswagen,Touran,219000,diesel,1968,103,5200
1546,Volkswagen,Golf,87000,diesel,1598,77,7950
1547,Volkswagen,Passat,261000,diesel,1598,77,5000
1548,Volkswagen,Passat,187000,diesel,1968,103,14299
1549,Volkswagen,Golf,220000,diesel,1896,66,4100
1550,Volkswagen,Golf,190000,bencinski,1197,77,11000
1551,Volkswagen,Golf,150000,diesel,1598,81,10490
1552,Volkswagen,Polo,113000,bencinski,1390,59,3600
1553,Volkswagen,Golf,225252,bencinski,1984,147,6890
1554,Volkswagen,Golf,152000,diesel,1598,77,10790
1555,Volkswagen,Passat,221000,diesel,1968,103,4200
1556,Volkswagen,Touran,218485,diesel,1598,77,8940
1557,Volkswagen,Touran,276000,diesel,189,77,3200
1558,Volkswagen,Amarok,168548,diesel,1986,120,15790
1559,Volkswagen,Sharan,175000,diesel,1968,103,14950
1560,Volkswagen,Golf,132000,diesel,1896,77,5990
1561,Volkswagen,Sharan,276000,diesel,1968,85,9000
1562,Volkswagen,Passat,260000,diesel,1896,77,4790
1563,Volkswagen,Golf,50000,bencinski,1984,169,25250
1564,Volvo,V40,104000,diesel,1560,84,10970
1565,Volvo,V70,211000,bencinski,1969,180,13500
1566,Volvo,S60,316076,diesel,2401,120,3000
1567,Volvo,V50,310000,diesel,1998,100,2500
1568,Volvo,V40,119435,diesel,1560,84,12190
1569,Volvo,V40,110270,diesel,1560,84,13850
1570,Volvo,V60,123000,diesel,1560,84,10490
1571,Volvo,V60,96552,diesel,1969,88,15680
1572,Volvo,S60,168000,diesel,1984,120,11500
1573,Volvo,C30,124000,bencinski,1798,92,4200
1574,Volvo,S80,197125,diesel,2400,151,15790
1575,Volvo,V90,15856,diesel,1969,173,52500
1576,Volvo,XC40,10500,diesel,1969,140,39990
1577,Volvo,V60,142668,diesel,1984,100,12990
1578,Volvo,V70,272086,diesel,2400,120,6170
1579,Volvo,V50,229800,diesel,1998,100,1900
1580,Volvo,V60,131681,diesel,1984,100,126900
1581,Volvo,XC60,200000,diesel,1984,100,13100
1582,Volvo,S80,292000,diesel,2400,136,4400
1583,Volvo,V40,100217,diesel,1969,88,12860
1584,Volvo,XC60,84207,diesel,1969,110,26999
1585,Volvo,S40,244399,diesel,1560,80,3490
1586,Volvo,XC90,26272,diesel,1969,173,57999
1587,Volvo,V60,265000,bencinski,1595,132,13999
1588,Volvo,V70,136203,diesel,2400,158,19999
1589,Volvo,V70,136203,diesel,2400,158,19999
1590,Volvo,C30,178500,diesel,1984,110,8250
1591,Volvo,V50,299000,diesel,1998,100,1980
1592,Volvo,XC60,130000,diesel,1969,133,20990
1593,Volvo,V60,179000,diesel,1984,120,11900
1594,Volvo,XC90,62396,diesel,1969,173,47900
1595,Volvo,V70,154214,diesel,1969,110,12990
1596,Volvo,V70,246412,diesel,1984,120,8770
1597,Volvo,V40,122000,diesel,1560,84,10890
1598,Volvo,V60,111000,diesel,1984,120,12599
1599,Volvo,XC60,142003,diesel,2400,140,21280
1600,Volvo,S60,132345,diesel,1560,84,11999
1601,Volvo,V40,74210,diesel,1969,88,17999
1602,Volvo,V60,111210,diesel,1969,133,14999
1603,Volvo,V60,111210,diesel,1969,133,14999
1604,Volvo,XC60,143323,diesel,2400,120,17999
1605,Volvo,XC60,143323,diesel,2400,120,17999
1606,Volvo,XC90,99000,diesel,1969,165,42900
1607,Volvo,XC70,138710,diesel,1969,133,19999
1608,Volvo,V60,99690,diesel,1969,140,25999
