serijska_stevilka,znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
1122,Fiat,Sedici,133000,diesel,1956,99,6990
1123,Fiat,500C,30000,bencinski,569,16,13600
1124,Fiat,Barchetta,100000,bencinski,1747,96,2299
1125,Fiat,Freemont,157000,diesel,1956,103,8430
1126,Fiat,Stilo,128000,diesel,1910,88,1999
1127,Fiat,Multipla,252900,diesel,1910,77,1190
1128,Fiat,500,98500,bencinski,1242,51,6550
1129,Fiat,Doblo,262000,diesel,1910,77,1890
1130,Fiat,500,35000,diesel,1248,70,8990
1131,Fiat,Croma,205000,diesel,1910,88,2299
1132,Fiat,Bravo,135000,bencinski,1368,110,4990
1133,Fiat,Croma,201537,diesel,1910,88,3499
1134,Fiat,Punto,160000,bencinski,1242,48,1990
1135,Fiat,Punto,190000,bencinski,1242,59,1590
1136,Fiat,Idea,178000,bencinski,1368,70,1990
1137,Fiat,Bravo,107000,bencinski,1368,110,4790
1138,Fiat,Stilo,232500,diesel,1910,103,1100
1139,Fiat,Scudo,246000,diesel,1997,80,3150
1140,Fiat,Punto,215000,bencinski,1368,57,1299
1141,Fiat,Punto,174000,bencinski,1242,44,19900
1142,Ford,S-Max,230000,diesel,1997,120,9300
1143,Ford,Galaxy,357000,diesel,1896,110,2099
1144,Ford,C-Max,81301,diesel,1997,103,8999
1145,Ford,Focus,180000,diesel,1560,70,7250
1146,Ford,S-Max,191000,diesel,1753,92,4100
1147,Ford,S-Max,235000,diesel,1753,92,3490
1148,Ford,Fiesta,143285,bencinski,1388,71,5100
1149,Ford,Mondeo,206000,diesel,1997,103,4990
1150,Ford,Focus,167858,diesel,1753,85,3880
1151,Ford,Focus,218485,diesel,1560,74,3440
1152,Ford,Focus,158800,diesel,1499,88,9990
1153,Ford,Focus,102632,diesel,1997,110,10990
1154,Ford,Mondeo,150602,diesel,1997,110,15990
1155,Ford,Focus,121622,diesel,1997,110,11990
1156,Ford,Mondeo,268614,diesel,1753,92,5450
1157,Ford,Focus,230790,diesel,1753,85,2950
1158,Ford,Focus,216000,diesel,1560,77,6900
1159,Ford,Focus,251949,diesel,1560,85,4990
1160,Ford,Mondeo,146230,diesel,1997,120,9390
1161,Ford,Kuga,112476,diesel,1997,100,8200
1162,Ford,Tourneo,240000,diesel,2000,82,3890
1163,Ford,Galaxy,290633,diesel,1896,85,2890
1164,Ford,S-Max,128789,diesel,1997,103,13990
1165,Ford,C-Max,117503,diesel,1499,70,10290
1166,Ford,C-Max,40000,bencinski,1596,74,5190
1167,Ford,Mondeo,165441,diesel,1997,103,8990
1168,Ford,S-Max,174000,diesel,1997,103,10990
1169,Ford,C-Max,168000,diesel,1560,66,4480
1170,Ford,Focus,191664,diesel,1560,70,7590
1171,Ford,C-Max,163000,diesel,1560,85,6690
1172,Ford,S-Max,291000,diesel,1997,103,2770
1173,Ford,Ranger,130000,diesel,3200,149,25000
1174,Ford,Focus,214000,diesel,1560,66,2590
1175,Ford,S-Max,338000,diesel,1997,103,2999
1176,Ford,Focus,195702,diesel,1753,66,1150
1177,Ford,S-Max,119280,diesel,1997,154,22990
1178,Ford,Focus,128848,diesel,1997,110,11999
1179,Ford,Kuga,43059,diesel,1997,110,19990
1180,Honda,CR-V,82926,diesel,1597,88,19950
1181,Honda,Civic,176200,diesel,2204,103,4290
1182,Honda,Accord,262900,diesel,2204,103,2800
1183,Honda,HR-V,232000,bencinski,1590,77,1200
1184,Honda,Civic,184300,bencinski,1590,81,2200
1185,Honda,CR-V,81000,diesel,1597,118,23700
1186,Honda,Jazz,115000,bencinski,1339,73,6200
1187,Honda,Civic,156140,diesel,1597,88,9350
1188,Honda,Jazz,146000,bencinski,1339,61,3390
1189,Honda,Civic,148000,diesel,1597,88,12991
1190,Honda,Accord,122210,bencinski,1997,115,12100
1191,Honda,Civic,178000,bencinski,1590,81,1390
1192,Honda,Civic,260000,diesel,2204,103,3490
1193,Honda,Accord,336000,diesel,2199,110,6500
1194,Honda,Civic,160000,bencinski,1590,81,1590
1195,Honda,Legend,350000,bencinski,3471,217,4500
1196,Honda,Accord,137214,diesel,2199,110,11810
1197,Honda,Accord,400000,bencinski,1998,114,2100
1198,Honda,Integra,179567,bencinski,1797,140,10700
1199,Honda,Civic,71000,diesel,2199,110,10699
1200,Honda,Jazz,48977,bencinski,1198,66,6790
1201,Honda,CR-V,196000,bencinski,1998,110,3600
1202,Honda,Accord,180000,diesel,2204,103,1950
1203,Honda,CR-V,275000,diesel,2204,103,6000
1204,Honda,Civic,82746,diesel,1597,88,12290
1205,Honda,Accord,190000,bencinski,1998,114,2890
1206,Honda,CR-V,102000,diesel,1597,88,18750
1207,Honda,Accord,135000,bencinski,1998,114,4000
1208,Honda,Civic,115000,diesel,1597,88,13790
1209,Honda,Accord,202336,bencinski,1998,114,4500
1210,Honda,Accord,216000,bencinski,2354,148,9390
1211,Honda,FR-V,121503,bencinski,1668,92,5999
1212,Honda,Accord,140850,bencinski,1997,115,12990
1213,Honda,Civic,75981,diesel,1597,88,11270
1214,Honda,Accord,281000,diesel,2199,110,7850
1215,Honda,Accord,320000,diesel,2204,103,3450
1216,Honda,Jazz,12000,bencinski,1318,75,13990
1217,Honda,CR-V,229101,diesel,2204,103,7280
1218,Honda,Jazz,93000,bencinski,1339,73,5490
1219,Honda,HR-V,209806,bencinski,1590,77,1599
1220,Honda,Jazz,278083,bencinski,1339,61,2000
1221,Honda,Civic,182000,diesel,2204,103,4750
1222,Kia,Picanto,87100,bencinski,999,46,2990
1223,Kia,Sportage,99800,diesel,1685,85,11990
1224,Kia,Rio,62230,bencinski,1248,62,6490
1225,Kia,CeeD,71249,bencinski,1368,74,10990
1226,Kia,Sportage,78000,diesel,1685,85,12500
1227,Kia,Sportage,235395,diesel,1991,103,5599
1228,Kia,Sportage,110000,diesel,1995,135,14990
1229,Kia,CeeD,188000,diesel,1396,66,5699
1230,Kia,Pro_CeeD,68700,bencinski,1396,73,7990
1231,Kia,Pro_CeeD,14600,bencinski,1396,80,3370
1232,Kia,Sportage,119950,diesel,1991,110,6999
1233,Kia,Sportage,58420,diesel,1685,85,16999
1234,Kia,Sportage,71960,bencinski,1591,99,14999
1235,Kia,Sportage,79360,diesel,1685,85,16999
1236,Kia,Sportage,42860,bencinski,1591,99,15999
1237,Kia,Pro_CeeD,82200,bencinski,1591,93,4750
1238,Kia,CeeD,41400,bencinski,1396,73,9690
1239,Kia,CeeD,44000,bencinski,1368,74,11490
1240,Kia,Sportage,68700,bencinski,1591,99,10999
1241,Kia,CeeD,56849,bencinski,1591,92,5690
1242,Kia,Pro_CeeD,97691,bencinski,1396,66,4800
1243,Kia,Venga,157141,bencinski,1396,66,4690
1244,Kia,Venga,133000,diesel,1582,94,5490
1245,Kia,CeeD,122000,bencinski,1396,80,3190
1246,Kia,Sorento,300000,diesel,2497,103,2700
1247,Kia,Pro_CeeD,39050,bencinski,1396,73,8999
1248,Kia,Pro_CeeD,110000,bencinski,1396,80,3890
1249,Kia,Optima,51533,diesel,1685,104,20990
1250,Kia,Sportage,87030,diesel,1685,85,15999
1251,Kia,Sportage,25235,diesel,1685,85,16999
1252,Kia,Sportage,45110,bencinski,1591,97,18999
1253,Kia,CeeD,109400,diesel,1582,94,8999
1254,Kia,Sportage,24855,diesel,1685,85,20960
1255,Kia,CeeD,203000,bencinski,1396,66,3750
1256,Kia,Pro_CeeD,115000,bencinski,1396,66,4300
1257,Kia,CeeD,61000,bencinski,1368,74,10699
1258,Kia,Pro_CeeD,51000,diesel,1582,94,10999
1259,Kia,Sportage,57555,diesel,1685,85,14299
1260,Kia,CeeD,193500,diesel,1991,103,3690
1261,Kia,Sportage,149000,diesel,1685,85,10550
1262,Kia,CeeD,109150,diesel,1582,94,8490
1263,Kia,Sportage,119335,bencinski,1591,99,10999
1264,Kia,Rio,130720,diesel,1396,66,6999
1265,Kia,Stonic,15350,bencinski,1368,73,17999
1266,Kia,CeeD,43211,bencinski,1368,74,10490
1267,Kia,CeeD,132000,bencinski,1591,92,3999
1268,Mercedes-Benz,E-Razred,64321,diesel,1950,110,34990
1269,Mercedes-Benz,S-Razred,230000,bencinski,3199,165,6500
1270,Mercedes-Benz,CLS-Razred,212700,diesel,2987,165,15800
1271,Mercedes-Benz,E-Razred,118953,diesel,2143,150,22990
1272,Mercedes-Benz,CLS-Razred,224000,diesel,2987,165,9900
1273,Mercedes-Benz,C-Razred,156000,diesel,2143,100,11550
1274,Mercedes-Benz,A-Razred,175000,diesel,1991,80,3500
1275,Mercedes-Benz,E-Razred,126547,diesel,2143,150,22499
1276,Mercedes-Benz,S-Razred,415515,diesel,2987,173,13900
1277,Mercedes-Benz,C-Razred,116715,diesel,2143,125,20000
1278,Mercedes-Benz,C-Razred,134000,bencinski,1796,90,5490
1279,Mercedes-Benz,E-Razred,370000,diesel,2685,125,1290
1280,Mercedes-Benz,CLA-Razred,6600,bencinski,1595,90,28200
1281,Mercedes-Benz,E-Razred,248000,diesel,2700,130,6900
1282,Mercedes-Benz,E-Razred,380000,diesel,2148,125,5300
1283,Mercedes-Benz,E-Razred,134000,diesel,2143,125,24400
1284,Mercedes-Benz,C-Razred,224400,diesel,2143,100,7980
1285,Mercedes-Benz,C-Razred,144000,diesel,2143,150,26850
1286,Mercedes-Benz,S-Razred,266265,diesel,2987,173,12765
1287,Mercedes-Benz,SL-Razred,90000,bencinski,3498,200,25500
1288,Mercedes-Benz,C-Razred,143679,diesel,2143,100,15500
1289,Mercedes-Benz,C-Razred,172344,bencinski,1796,120,4199
1290,Mercedes-Benz,C-Razred,230000,diesel,2143,125,10990
1291,Mercedes-Benz,C-Razred,270127,diesel,2148,105,3490
1292,Mercedes-Benz,C-Razred,35200,bencinski,1595,115,19990
1293,Mercedes-Benz,E-Razred,259000,diesel,2987,165,7950
1294,Mercedes-Benz,C-Razred,94523,diesel,2143,125,21990
1295,Mercedes-Benz,C-Razred,153962,diesel,2143,125,24985
1296,Mercedes-Benz,E-Razred,16000,bencinski,1991,135,41500
1297,Mercedes-Benz,C-Razred,185700,diesel,2143,125,20990
1298,Mercedes-Benz,ML-Razred,269740,diesel,2987,140,8750
1299,Mercedes-Benz,B-Razred,192144,diesel,1991,80,5990
1300,Mercedes-Benz,C-Razred,240000,diesel,2148,110,4190
1301,Mercedes-Benz,E-Razred,178448,diesel,2143,150,24990
1302,Mercedes-Benz,CLS-Razred,172400,diesel,2143,150,22500
1303,Mercedes-Benz,B-Razred,99481,diesel,1461,80,16460
1304,Mercedes-Benz,C-Razred,134870,diesel,1598,100,17440
1305,Mercedes-Benz,CLA-Razred,175000,diesel,2143,100,18900
1306,Mercedes-Benz,B-Razred,113000,diesel,1461,80,13990
1307,Mercedes-Benz,C-Razred,154000,diesel,2148,125,8490
1308,Nissan,Micra,180000,bencinski,1240,59,2300
1309,Nissan,Terrano,260000,diesel,2663,74,1700
1310,Nissan,Note,48800,bencinski,1198,59,7250
1311,Nissan,Qashqai,210000,diesel,1461,81,5800
1312,Nissan,Qashqai,64172,diesel,1598,96,15990
1313,Nissan,Note,107957,diesel,1461,66,7990
1314,Nissan,Note,133000,bencinski,1386,65,5490
1315,Nissan,Qashqai,163000,bencinski,1997,104,5990
1316,Nissan,Micra,170000,bencinski,1240,59,1390
1317,Nissan,Note,79000,bencinski,1198,59,6990
1318,Nissan,Micra,155000,bencinski,1240,59,1290
1319,Nissan,Terrano,258900,diesel,2664,92,3300
1320,Nissan,Note,101000,bencinski,1386,65,3990
1321,Nissan,Pathfinder,226300,diesel,2488,126,7800
1322,Nissan,Micra,120000,bencinski,1240,59,2990
1323,Nissan,Micra,201000,diesel,1461,60,1950
1324,Nissan,Note,119957,bencinski,1386,65,5250
1325,Nissan,Qashqai,167434,diesel,1994,110,8700
1326,Nissan,X-Trail,222349,diesel,2184,84,2750
1327,Nissan,Note,83000,bencinski,1386,65,5700
1328,Nissan,Juke,79900,bencinski,1197,85,10500
1329,Nissan,Micra,190000,diesel,1461,48,1990
1330,Nissan,Juke,85563,bencinski,1618,140,9995
1331,Nissan,X-Trail,140000,diesel,2184,100,5700
1332,Nissan,Navara,112000,diesel,2488,140,14350
1333,Nissan,Qashqai,55000,bencinski,1197,85,15300
1334,Nissan,Qashqai,86000,diesel,1598,96,12990
1335,Nissan,Juke,79000,diesel,1461,81,9600
1336,Nissan,Almera,170000,bencinski,1497,72,1100
1337,Nissan,Note,129000,bencinski,1386,65,3600
1338,Nissan,Almera,260000,diesel,150,110,1000
1339,Nissan,Qashqai,88502,diesel,1461,81,11500
1340,Nissan,Micra,143000,bencinski,1598,81,2850
1341,Nissan,Almera,140000,bencinski,1769,85,1590
1342,Nissan,Qashqai,152000,diesel,1461,81,14490
1343,Nissan,Micra,251000,diesel,1461,60,1500
1344,Nissan,Terrano,167507,diesel,2664,92,6550
1345,Nissan,Qashqai,93390,diesel,1598,96,13499
1346,Nissan,Terrano,303000,diesel,2663,73,1500
1347,Nissan,Micra,179567,diesel,1461,48,2100
1348,Nissan,Juke,68809,bencinski,1598,86,8290
1349,Nissan,Juke,156463,diesel,1461,81,8900
1350,Opel,Meriva,169000,diesel,1686,74,2860
1351,Opel,Zafira,134874,diesel,1598,88,11450
1352,Opel,Vectra,189000,bencinski,1796,90,2200
1353,Opel,Zafira,251000,diesel,1910,110,4990
1354,Opel,Corsa,138000,bencinski,1229,59,3000
1355,Opel,Corsa,155000,bencinski,1229,59,2555
1356,Opel,Mokka,120000,diesel,1686,96,11590
1357,Opel,Zafira,190000,diesel,1910,70,3600
1358,Opel,Astra,249735,diesel,1686,74,2450
1359,Opel,Astra,138000,diesel,1598,81,8650
1360,Opel,Corsa,87000,bencinski,1229,59,2300
1361,Opel,Meriva,246000,diesel,1686,74,1380
1362,Opel,Tigra,159878,bencinski,1796,92,2899
1363,Opel,Astra,196543,diesel,1686,74,2999
1364,Opel,Astra,189000,diesel,1686,96,6650
1365,Opel,Tigra,198585,bencinski,1364,66,2899
1366,Opel,Astra,141000,bencinski,1598,85,6150
1367,Opel,Astra,95600,bencinski,1600,85,5000
1368,Opel,Astra,172000,diesel,17,74,7450
1369,Opel,Insignia,230000,diesel,1956,96,5390
1370,Opel,Omega,360000,bencinski,2597,132,1250
1371,Opel,Astra,97000,bencinski,1364,66,2750
1372,Opel,Astra,30000,bencinski,1399,110,16600
1373,Opel,Astra,199000,diesel,1686,74,2750
1374,Opel,Insignia,220000,diesel,1956,118,5390
