"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
588,138,136203,"diesel",2400,158,19999,14999
589,138,136203,"diesel",2400,158,19999,14999
590,142,178500,"diesel",1984,110,8250,6188
591,140,299000,"diesel",1998,100,1980,1485
592,146,130000,"diesel",1969,133,20990,15742
593,141,179000,"diesel",1984,120,11900,8925
594,148,62396,"diesel",1969,173,47900,35925
595,138,154214,"diesel",1969,110,12990,9742
596,138,246412,"diesel",1984,120,8770,6578
597,137,122000,"diesel",1560,84,10890,8168
598,141,111000,"diesel",1984,120,12599,9449
599,146,142003,"diesel",2400,140,21280,15960
600,139,132345,"diesel",1560,84,11999,8999
601,137,74210,"diesel",1969,88,17999,13499
602,141,111210,"diesel",1969,133,14999,11249
603,141,111210,"diesel",1969,133,14999,11249
604,146,143323,"diesel",2400,120,17999,13499
605,146,143323,"diesel",2400,120,17999,13499
606,148,99000,"diesel",1969,165,42900,32175
607,149,138710,"diesel",1969,133,19999,14999
608,141,99690,"diesel",1969,140,25999,19499
