"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
137,33,107000,"bencinski",1368,110,4790,3592
138,32,232500,"diesel",1910,103,1100,825
139,41,246000,"diesel",1997,80,3150,2362
140,28,215000,"bencinski",1368,57,1299,974
141,28,174000,"bencinski",1242,44,19900,14925
142,42,230000,"diesel",1997,120,9300,6975
143,43,357000,"diesel",1896,110,2099,1574
144,44,81301,"diesel",1997,103,8999,6749
145,45,180000,"diesel",1560,70,7250,5438
146,42,191000,"diesel",1753,92,4100,3075
147,42,235000,"diesel",1753,92,3490,2618
148,46,143285,"bencinski",1388,71,5100,3825
149,47,206000,"diesel",1997,103,4990,3742
150,45,167858,"diesel",1753,85,3880,2910
151,45,218485,"diesel",1560,74,3440,2580
152,45,158800,"diesel",1499,88,9990,7492
153,45,102632,"diesel",1997,110,10990,8242
154,47,150602,"diesel",1997,110,15990,11992
155,45,121622,"diesel",1997,110,11990,8992
156,47,268614,"diesel",1753,92,5450,4088
157,45,230790,"diesel",1753,85,2950,2212
158,45,216000,"diesel",1560,77,6900,5175
159,45,251949,"diesel",1560,85,4990,3742
160,47,146230,"diesel",1997,120,9390,7042
161,48,112476,"diesel",1997,100,8200,6150
162,49,240000,"diesel",2000,82,3890,2918
163,43,290633,"diesel",1896,85,2890,2168
164,42,128789,"diesel",1997,103,13990,10492
165,44,117503,"diesel",1499,70,10290,7718
166,44,40000,"bencinski",1596,74,5190,3892
167,47,165441,"diesel",1997,103,8990,6742
168,42,174000,"diesel",1997,103,10990,8242
169,44,168000,"diesel",1560,66,4480,3360
170,45,191664,"diesel",1560,70,7590,5692
171,44,163000,"diesel",1560,85,6690,5018
172,42,291000,"diesel",1997,103,2770,2078
173,50,130000,"diesel",3200,149,25000,18750
174,45,214000,"diesel",1560,66,2590,1942
175,42,338000,"diesel",1997,103,2999,2249
176,45,195702,"diesel",1753,66,1150,862
177,42,119280,"diesel",1997,154,22990,17242
178,45,128848,"diesel",1997,110,11999,8999
179,48,43059,"diesel",1997,110,19990,14992
180,51,82926,"diesel",1597,88,19950,14962
181,52,176200,"diesel",2204,103,4290,3218
182,53,262900,"diesel",2204,103,2800,2100
183,54,232000,"bencinski",1590,77,1200,900
184,52,184300,"bencinski",1590,81,2200,1650
185,51,81000,"diesel",1597,118,23700,17775
186,55,115000,"bencinski",1339,73,6200,4650
187,52,156140,"diesel",1597,88,9350,7012
188,55,146000,"bencinski",1339,61,3390,2542
189,52,148000,"diesel",1597,88,12991,9743
190,53,122210,"bencinski",1997,115,12100,9075
191,52,178000,"bencinski",1590,81,1390,1042
192,52,260000,"diesel",2204,103,3490,2618
193,53,336000,"diesel",2199,110,6500,4875
194,52,160000,"bencinski",1590,81,1590,1192
195,56,350000,"bencinski",3471,217,4500,3375
196,53,137214,"diesel",2199,110,11810,8858
197,53,400000,"bencinski",1998,114,2100,1575
198,57,179567,"bencinski",1797,140,10700,8025
199,52,71000,"diesel",2199,110,10699,8024
200,55,48977,"bencinski",1198,66,6790,5092
201,51,196000,"bencinski",1998,110,3600,2700
202,53,180000,"diesel",2204,103,1950,1462
